id,message,time,relative_time,author
2407167334,sensacional Nando ;) valeu por compartilhar.,"Sábado, 12 de Dezembro de 2015 às 23:29",8 anos atrás,ton
2525674881,"PQP que TOP man, vou compartilhar","Sábado, 20 de Fevereiro de 2016 às 19:53",8 anos atrás,Rafael Jesus
2622608340,Parabéns pelo post!,"Quarta-Feira, 13 de Abril de 2016 às 22:44",7 anos atrás,Hugo Henrique
3856262742,"Otimas dicas, claras e pertinentes! Imagino você palestrando... informação só é boa se compartilhada! Obrigada!","Domingo, 15 de Abril de 2018 às 10:03",5 anos atrás,Andreia Simon
4529677584,Sensacional! Gostei muito! Obrigada pelas dicas e parabens!,"Sábado, 6 de Julho de 2019 às 17:03",4 anos atrás,maria rosa santos
4702978880,"Obrigado pelas Dicas, ajudaram muito.","Terça-Feira, 26 de Novembro de 2019 às 08:05",4 anos atrás,Letícia Luiz Carlos Nascimento
4786226969,"Eu queria da palestra fatos
reais..ajudar.. Falar sobre suicidas..sintomas..sera que da?","Quinta-Feira, 6 de Fevereiro de 2020 às 15:40",4 anos atrás,Angel Rocha
2311081251,"Muito bom! Logo vou precisar fazer esse mesmo tipo de migração.
A propósito, qual plugin de tradução vc está usando?","Sexta-Feira, 16 de Outubro de 2015 às 17:04",8 anos atrás,Santiago
2311351265,"Não estou usando nenhum plugin.
O tema é internacionalizado e está adicionado no meu repositório de textos como um submódulo.
https://dl.dropboxuserconte...","Sexta-Feira, 16 de Outubro de 2015 às 20:25",8 anos atrás,Nando Vieira
2322664518,Saquei. Valeu.,"Sexta-Feira, 23 de Outubro de 2015 às 08:43",8 anos atrás,Santiago
2321723730,"Que susto, pensei que você ia parar de blogar.","Quinta-Feira, 22 de Outubro de 2015 às 19:11",8 anos atrás,Gedean Dias
2367281549,"Nando, embora o texto seja claro quanto ao propósito (que não é parar), poste algo ""para provar"", rssss...
Venho há 1 mês para ver se tem outro post, rssss...
Tudo de bom, e abraços, mestre!","Quarta-Feira, 18 de Novembro de 2015 às 20:23",8 anos atrás,Charles Loureiro de Deus
2280018673,"Sobre o nome, além de ES.Next, o ES6 também é oficialmente chamado de ES2015. http://www.ecma-internation...
Ótimo artigo, Fernando.","Terça-Feira, 29 de Setembro de 2015 às 11:04",8 anos atrás,Luiz Augusto
2616582963,"Quando rodo o rails s ele sá
config/initializers/babel.rb:2:in `block in <top (required)="""">': uninitialized constant Sprockets::BabelProcessor (NameError)","Domingo, 10 de Abril de 2016 às 17:10",7 anos atrás,Bruno Quaresma
2276156523,Muito bom @fnando! Quando acesso um projeto a primeira pasta que vejo é a de testes. Geralmente é o caminho mais rápido para entender o projeto.,"Domingo, 27 de Setembro de 2015 às 00:34",8 anos atrás,Leonardo Nogueira
2130868853,"Bem bacana, Nando.
Desta forma fica bem fácil gerenciar uma CLI, o que geralmente dá um bocado de trabalho!
Seu site é gerado com o Troy?","Sábado, 11 de Julho de 2015 às 19:50",8 anos atrás,Lucas Arruda
2131193346,"Seu site é gerado com o Troy?
É sim! Eu criei o Troy porque nunca conseguia fazer as coisas de modo simples com o jekyll. ¯\_(ツ)_/¯","Domingo, 12 de Julho de 2015 às 01:22",8 anos atrás,Nando Vieira
2131955870,"Essa ferramenta facilita muito, com OptionParser eu tenho muito trabalho para criar CLI's.","Domingo, 12 de Julho de 2015 às 13:38",8 anos atrás,Alisson Bruno Santos
2133374913,"Ótimas dicas! Recentemente quis usar o Thor em um ruby script e acabei usando o bundle com gemfile inline para controlar as dependências. Um quebra galho bem legal por sinal. https://gist.github.com/rog...
Valeu!","Segunda-Feira, 13 de Julho de 2015 às 11:26",8 anos atrás,Roger Leite
2216739463,"Nando Vieira muito bom o artigo. Deixarei o OptionParser de lado agora.
Tenho uma dúvida: preciso criar uma task que verifique se o deploy pode ser feito (ela é executada no Capistrano) conferindo se alguns arquivos estão apropriados para receber a nova versão.
Criei uma RakeTask que recebe alguns argumentos pelo ENV[arg] após exaustivas tentativas de utilizar o OptionParser. Você sabe se o Thor funciona bem com o rake?
O melhor approach pra isso seria jogar na pasta bin? Se sim, como carrego a aplicação Rails nesse bin?
Obrigado!","Terça-Feira, 25 de Agosto de 2015 às 17:10",8 anos atrás,João Fraga
670799432,"Ótimo post.
Também sempre uso a Jeweler. :)","Sábado, 24 de Julho de 2010 às 16:50",13 anos atrás,Leandro Silva
670799477,"Muito bacana o post Nando.
ps: acho que na linha do mkdir, seria ""test"" no lugar de ""tests"", não?","Sábado, 24 de Julho de 2010 às 17:33",13 anos atrás,Carlos Antonio
670799734,Boa! Já alterei o post! ;),"Sábado, 24 de Julho de 2010 às 23:01",13 anos atrás,Nando Vieira
670799534,"Post bacana!
Só dispenso o jeweler - vou mais pela linha desse post:
http://yehudakatz.com/2010/...","Sábado, 24 de Julho de 2010 às 18:30",13 anos atrás,Douglas Campos (qmx)
670799687,Uso o Jeweler principalmente por causa da integração com Github + Gemcutter. A gemspec é só um detalhe. ;),"Sábado, 24 de Julho de 2010 às 22:59",13 anos atrás,Nando Vieira
670799388,"Só um detalhe no começo do post (sem querer ser o cara chato, mas já sendo…): um arquivo .gem em si é só um arquivo .tar, sem compressão. Até não faria muito sentido usar gzip de novo se os dois arquivos internos já passaram por ele.","Domingo, 25 de Julho de 2010 às 16:08",13 anos atrás,Daniel
670799782,"Legal o post!
No quesito ""helper"", prefiro usar o gemhub do Diego Carrion.
http://www.mouseoverstudio....","Segunda-Feira, 26 de Julho de 2010 às 10:52",13 anos atrás,Roger Leite
670799631,"Obrigado pelo post. Como estou começando, não tinha resolvido criar uma gem ainda, mas quando vi seu post me senti compelido e consegui fazer tudo certinho.
Obrigado.","Sábado, 31 de Julho de 2010 às 21:47",13 anos atrás,Alexandre de Oliveira
670799836,"Olá Nando ... muito bom o Post!!! Mas tenho uma dúvida:
Como eu faço pra minha gem... ao rodar um comando : "" script/generate gemdoluiz "" copiar alguns arquivos para a pasta public/javascripts, e um arquivo no config/initializers ? pois estou montando um formbuilder para ser usado com jQuery ... e gostaria de copiar meu plugin jquery pra pasta javascript e um arquivo pro config/initializers pro rails usar meu form builder como padrão...
Aguma idéia ??? Valew !","Terça-Feira, 17 de Agosto de 2010 às 17:19",13 anos atrás,Luiz Eduardo
670799868,"Sei que esse cometario nao é ligado ao post, mas é uma duvida que eu tenho
e creio que você possa me ajudar.
Como eu instalo um bundle que esta no github no textmate?
Desde já, muito obrigado.","Segunda-Feira, 6 de Setembro de 2010 às 14:33",13 anos atrás,Bruno A. Santos
670799916,"Muito bom, me ajudou bastante","Quarta-Feira, 1 de Dezembro de 2010 às 23:30",13 anos atrás,Marco Antonio
670799962,"E ai Nando, gostei mesmo do post, mas fiz um teste com os códigos aqui e deu erro, ai alterei a lib no arquivo rake para lib/hello_world, e funcionou, mas não sei se a forma como fiz é o correto, estou começando com ruby, gostaria de saber se a forma como ocorreu para mim é o correto? eu uso o ruby 1.8.7.","Sexta-Feira, 1 de Abril de 2011 às 20:07",12 anos atrás,Luiz Fernando
